,URL,URL-href,TotalRating,TypeLevel1_x,TotalSeat,service_pet_friendly,service_Wi-Fi,service_reservation,service_Parking,service_Good for Groups,service_Delivery,service_Good for Kids,service_alcohol,service_Credit Card,review_wordlist,ReviewScore,TotalReview,PriceRange,Province,2020Reward,RecMenu1,RecMenu2,RecMenu3,rest_service_Cluster,friend,family,couple,rush,save,delivery,hungry,party,business
0,Hong Khao Tom Pla Restaurant,https://www.wongnai.com/restaurants/110263UT-%E0%B8%AE%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B8%9B%E0%B8%A5%E0%B8%B2,116,ร้านข้าวต้ม,11 - 40 ที่นั่ง,0,0,1,1,1,0,1,0,0,[],4.2,91.0,฿฿,ภูเก็ต,1.0,,,,2,54.0,43.0,0.0,0.0,0,0,27.0,0,0.0
1,MAGUROChic Republic ราชพฤกษ์,https://www.wongnai.com/restaurants/262358pu-maguro-chic-republic-%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%9E%E0%B8%A4%E0%B8%81%E0%B8%A9%E0%B9%8C,105,อาหารญี่ปุ่น,81 - 150  ที่นั่ง,0,0,0,1,0,1,0,0,1,[],3.9,76.0,฿฿฿฿,นนทบุรี,1.0,,,,0,38.0,38.0,25.0,0.0,0,0,0.0,0,0.0
2,Arno's Chiang Maiเชียงใหม่,https://www.wongnai.com/restaurants/293130iq-arno-s-chiang-mai-%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88,11,สเต๊ก,11 - 40 ที่นั่ง,0,1,0,1,0,1,0,1,1,[],3.8,4.0,฿฿฿,เชียงใหม่,1.0,Lamb Chops (Price per 100g.),Grilled Hokkaido Sacallop with Truffle Sauce and Chesse Souflé (Price per 100g.),Chicken Wings with Arno’s Sauce,0,25.0,25.0,0.0,0.0,0,0,0.0,0,0.0
4,เฝอ 54 (เฝอหม้อไฟเจ้าแรกในไทย)ลาดพร้าววังหิน,https://www.wongnai.com/restaurants/pho54-wanghin,252,อาหารเวียดนาม,11 - 40 ที่นั่ง,0,0,0,1,0,1,0,0,0,"['น้ำจิ้ม', 'น้ำซุป', 'หม้อไฟ', 'เส้นเฝอ', 'บริการ', 'พนักงาน', 'ที่จอดรถ', 'กลมกล่อม', 'เหนียว', 'เยอะมาก', 'ก๋วยเตี๋ยว', 'ลาดพร้าว']",4.1,196.0,฿฿,กรุงเทพมหานคร,1.0,เฝอหม้อไฟทะเล พร้อมทาน,เส้นเฝอ,หมูนุ่ม,0,65.0,46.0,0.0,0.0,0,0,30.0,0,0.0
6,Polar Boulangerie and Patisserieเชียงราย,https://www.wongnai.com/restaurants/polarchiangrai,146,คาเฟ่,41 - 80 ที่นั่ง,0,1,1,1,1,0,1,0,0,"['ชูครีม', 'เจ้าของร้าน', 'น่ารัก']",4.5,106.0,฿฿,เชียงราย,1.0,,,,2,55.0,42.0,54.0,0.0,0,0,0.0,0,0.0
7,ร่มไม้ใหญ่ เรสเตอรองท์,https://www.wongnai.com/restaurants/147183fQ-%E0%B8%A3%E0%B9%88%E0%B8%A1%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88-%E0%B9%80%E0%B8%A3%E0%B8%AA%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B8%AD%E0%B8%87%E0%B8%97%E0%B9%8C,110,อาหารเหนือ,มากกว่า 150 ที่นั่ง,0,1,1,1,1,0,1,1,1,[],4.0,82.0,฿฿,แพร่,1.0,ยำร่มไม้ใหญ่,ขาหมูเยอรมันทอดกรอบ,ปลากระพงทอดราดน้ำปลา,1,48.0,48.0,28.0,0.0,0,0,0.0,0,0.0
8,BEYOND CAFEสนามกีฬาเทศบาลนครอุดรธานี,https://www.wongnai.com/restaurants/beyond-cafe,110,ร้านกาแฟ/ชา,41 - 80 ที่นั่ง,0,1,1,1,1,0,1,0,0,"['พนักงาน', 'หนังสือ', 'น่ารัก', 'บรรยากาศ', 'เครื่องดื่ม', 'ร้านกาแฟ']",4.2,88.0,฿฿,อุดรธานี,1.0,,,,2,60.0,39.0,51.0,0.0,0,0,0.0,0,0.0
10,Vertigo and Moon Bar,https://www.wongnai.com/restaurants/vertigo,145,ร้านบนดาดฟ้า,41 - 80 ที่นั่ง,0,0,1,1,1,0,0,1,1,"['บรรยากาศ', 'พนักงาน', 'บริการ', 'cocktail', 'เครื่องดื่ม', 'วิวสวย']",4.3,104.0,฿฿฿฿฿,กรุงเทพมหานคร,1.0,signature cocktail,Salmon Tarta,Duck Breast,1,28.0,0.0,67.0,0.0,0,0,0.0,41,0.0
12,Neil's Tavern Restaurantร่วมฤดี,https://www.wongnai.com/restaurants/2957tk-neil-s-tavern-restaurant-%E0%B8%A3%E0%B9%88%E0%B8%A7%E0%B8%A1%E0%B8%A4%E0%B8%94%E0%B8%B5,142,สเต๊ก,41 - 80 ที่นั่ง,0,1,1,1,1,1,1,1,1,"['พนักงาน', 'บรรยากาศ']",4.1,114.0,฿฿฿฿,กรุงเทพมหานคร,1.0,เสต็กเนื้อทุกประเภท !!!,Steak A La Neil,USDA prime ribeye,1,37.0,39.0,45.0,0.0,0,0,0.0,0,0.0
14,You & I Suki BuffetFashion Island,https://www.wongnai.com/restaurants/277742CV-you-i-suki-buffet-fashion-island,66,ชาบู/สุกี้ยากี้/หม้อไฟ,11 - 40 ที่นั่ง,0,0,0,1,0,1,0,1,1,[],3.9,37.0,฿฿฿฿,กรุงเทพมหานคร,1.0,,,,0,51.0,41.0,0.0,0.0,0,0,24.0,0,0.0
15,หอยแครงลวกเจ๊ภา,https://www.wongnai.com/restaurants/hoykraengluakjepar,178,อาหารทะเล,ไม่เกิน 10 ที่นั่ง,0,0,0,0,0,0,0,0,0,"['หอยแครงลวก', 'น้ำจิ้ม', 'หอยแครง']",4.2,121.0,฿,กรุงเทพมหานคร,1.0,หอยแครงลวก,น้ำจิ้มถั่ว,หอนแครงลวก,0,36.0,0.0,0.0,36.0,0,0,17.0,0,0.0
17,เกาเหลาเนื้อวัวไร้เทียมทานราชวัตร,https://www.wongnai.com/restaurants/raitieamtan,104,ก๋วยเตี๋ยว,41 - 80 ที่นั่ง,0,1,0,1,0,0,0,0,0,[],4.1,83.0,฿฿,กรุงเทพมหานคร,1.0,เกาเหลาเนื้อโกเบ,เกาเหลาเนื้อ โกเบ เพีย กรอบ,เนื้อโกเบตุ๋น,0,43.0,0.0,0.0,35.0,0,0,31.0,0,0.0
19,ในรูนิพัทธ์อุทิศ 3 ซอย 1,https://www.wongnai.com/restaurants/nairoo,283,อาหารจานเดียว,None,0,0,0,0,0,0,0,0,0,"['หมูสับทอด', 'ไอ้คลั่งทะเลโหด', 'ปอเปี๊ยะทอด', 'ไส้เค็ม', 'ไส้หวาน', 'กับข้าว']",4.2,206.0,฿฿฿,สงขลา,1.0,ไอ้คลั่งทะเลโหด,ปอเปี๊ยะทอด,หมูสับทอด,0,54.0,51.0,0.0,0.0,0,0,23.0,0,0.0
21,เทพรส 66ลำปาง,https://www.wongnai.com/restaurants/120426jP-%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A3%E0%B8%AA-66-%E0%B8%A5%E0%B8%B3%E0%B8%9B%E0%B8%B2%E0%B8%87,85,อาหารตามสั่ง,None,0,0,0,1,0,0,0,0,0,[],4.2,65.0,฿,ลำปาง,1.0,,,,0,0.0,31.0,0.0,34.0,0,0,32.0,0,0.0
22,Akha Ama Living Factory แม่แรม,https://www.wongnai.com/restaurants/311152pI-akha-ama-living-factory,27,ร้านกาแฟ/ชา,11 - 40 ที่นั่ง,0,1,0,1,0,0,0,0,0,[],4.3,22.0,฿฿,เชียงใหม่,1.0,,,,0,23.0,14.0,36.0,0.0,0,0,0.0,0,0.0
23,nahmโรงแรมโคโม เมโทรโพลิแทน กรุงเทพฯ,https://www.wongnai.com/restaurants/23143ae-nahm-metropolitan-bangkok-hotel,46,อาหารไทย,มากกว่า 150 ที่นั่ง,0,1,1,1,1,0,1,1,1,[],4.0,39.0,฿฿฿฿฿,กรุงเทพมหานคร,1.0,,,,1,48.0,0.0,60.0,0.0,0,0,0.0,0,48.0
25,สุกี้ช้างเผือกประตูช้างเผือก,https://www.wongnai.com/restaurants/cocasuki,157,อาหารจานเดียว,81 - 150  ที่นั่ง,0,0,0,1,1,1,1,0,0,"['น้ำจิ้ม', 'สุกี้แห้ง', 'วุ้นเส้น']",4.1,139.0,฿,เชียงใหม่,1.0,สุกี้แห้งหมู,สุกี้แห้งเนื้อ,สุกี้แห้งทะเล,2,39.0,0.0,0.0,0.0,32,0,31.0,0,0.0
27,Ting Tai Fuพัฒนาการ 50,https://www.wongnai.com/restaurants/122319gH-ting-tai-fu-%E0%B8%9E%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A3-50,93,อาหารจีน,11 - 40 ที่นั่ง,0,1,0,1,0,1,0,1,0,[],4.0,72.0,฿฿฿,กรุงเทพมหานคร,1.0,เสี่ยวหลงเปา กุ้ง,ซี่โครงหมูน้ำแดง,เต้าหู้เสฉวน,0,53.0,56.0,17.0,0.0,0,0,0.0,0,0.0
29,Lord Jims Restaurantโรงแรมโอเรียนเต็ล,https://www.wongnai.com/restaurants/lordjims,244,บุฟเฟ่ต์โรงแรม,41 - 80 ที่นั่ง,0,0,1,1,1,1,1,1,1,"['พนักงาน', 'ของหวาน']",4.3,112.0,฿฿฿฿฿,กรุงเทพมหานคร,1.0,,,,1,28.0,39.0,37.0,0.0,0,0,0.0,0,0.0
31,Factory Coffee - Bangkok,https://www.wongnai.com/restaurants/149430aq-factory-coffee-bangkok,316,ร้านกาแฟ/ชา,81 - 150  ที่นั่ง,0,1,0,1,1,1,1,0,1,"['ร้านกาแฟ', 'signature', 'น้ำแข็ง', 'เข้มข้น', 'พนักงาน', 'เครื่องดื่ม']",4.3,239.0,฿฿,กรุงเทพมหานคร,1.0,Mrs. Cold,White Citrus,Phayathai,2,41.0,0.0,33.0,0.0,0,0,0.0,0,22.0
33,เล็กบ้านรอ,https://www.wongnai.com/restaurants/lekbanro,150,อาหารไทย,41 - 80 ที่นั่ง,0,1,0,1,0,1,0,1,0,[],4.0,123.0,฿฿,อ่างทอง,1.0,ยำกุ้งฟู,ผัดเผ็ดกระดูกอ่อน,,0,42.0,51.0,10.0,0.0,0,0,0.0,0,0.0
34,TORA Yakiniku x CafeCity Connect,https://www.wongnai.com/restaurants/torayakinikucafe,147,ปิ้งย่าง,11 - 40 ที่นั่ง,0,0,1,1,1,1,0,1,1,[],4.3,96.0,฿฿฿฿,กรุงเทพมหานคร,1.0,ข้าวหน้าเนื้อยูเอส,Engawa x Hotate Mentai Roll,สเต็กไก่สไปซี่,1,52.0,31.0,0.0,0.0,0,0,28.0,0,0.0
36,ขนมหวานบ้านป้าปรางค์,https://www.wongnai.com/restaurants/kanomwanpaprang,144,ของหวาน,11 - 40 ที่นั่ง,0,1,0,1,1,0,1,0,0,"['ขนมหวาน', 'น้ำกะทิ', 'ไม่หวาน', 'ข้าวฟ่าง', 'ขนมไทย']",4.0,117.0,฿,ประจวบคีรีขันธ์,1.0,,,,2,46.0,46.0,0.0,0.0,26,0,0.0,0,0.0
37,Mizu 水 by Sankyodai,https://www.wongnai.com/restaurants/mizubysankyodai,87,อาหารญี่ปุ่น,11 - 40 ที่นั่ง,0,1,1,1,1,0,1,1,1,[],4.2,70.0,฿฿฿฿฿,กรุงเทพมหานคร,1.0,,,,1,41.0,30.0,47.0,0.0,0,0,0.0,0,0.0
39,Agape Coffee,https://www.wongnai.com/restaurants/221804wl-agape-coffee,87,ร้านกาแฟ/ชา,11 - 40 ที่นั่ง,0,1,1,1,1,0,0,0,1,[],4.5,55.0,฿,เชียงราย,1.0,,,,1,31.0,0.0,18.0,0.0,0,0,0.0,0,18.0
40,จันทรโภชนาเบญจมราชูทิศ,https://www.wongnai.com/restaurants/187508RB-%E0%B8%88%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%82%E0%B8%A0%E0%B8%8A%E0%B8%99%E0%B8%B2-%E0%B9%80%E0%B8%9A%E0%B8%8D%E0%B8%88%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%B9%E0%B8%97%E0%B8%B4%E0%B8%A8,115,อาหารไทย,None,0,0,0,1,0,0,0,0,0,"['ทุเรียน', 'ลอมาจู']",4.0,95.0,฿฿,จันทบุรี,1.0,,,,0,58.0,58.0,18.0,0.0,0,0,0.0,0,0.0
41,Roots at SathonBhiraj Sathon,https://www.wongnai.com/restaurants/335724gF-roots-at-sathon-bhiraj-sathon,125,ร้านกาแฟ/ชา,11 - 40 ที่นั่ง,0,1,0,1,0,1,0,0,1,[],4.2,93.0,฿฿,กรุงเทพมหานคร,1.0,Orange tonic,Latte,Cacao nibs,0,25.0,0.0,14.0,0.0,0,0,0.0,0,20.0
43,แจ่วฮ้อน (ท่าขอนยาง),https://www.wongnai.com/restaurants/8529kY-%E0%B9%81%E0%B8%88%E0%B9%88%E0%B8%A7%E0%B8%AE%E0%B9%89%E0%B8%AD%E0%B8%99-%E0%B8%97%E0%B9%88%E0%B8%B2%E0%B8%82%E0%B8%AD%E0%B8%99%E0%B8%A2%E0%B8%B2%E0%B8%87,74,อาหารอีสาน/ร้านส้มตำ,None,0,0,1,1,1,0,1,1,1,[],4.1,56.0,฿฿,มหาสารคาม,1.0,,,,1,45.0,46.0,16.0,0.0,0,0,0.0,0,0.0
